Field2,Count of Field1
1,2662
2,974
3,574
4,365
5,248
6,237
7,145
8,124
9,103
10,89
11,78
12,61
13,55
18,45
14,45
15,44
17,42
16,36
20,24
23,23
19,21
24,21
22,21
21,18
25,18
29,13
28,12
31,12
26,11
33,10
27,10
38,9
34,9
53,8
30,8
37,8
47,7
70,6
48,6
32,6
36,6
43,6
51,5
49,5
52,5
41,5
42,5
66,4
35,4
68,4
55,4
39,4
58,4
40,4
74,3
44,3
90,3
60,3
72,3
61,3
87,3
62,3
94,3
64,3
45,3
131,2
103,2
57,2
56,2
126,2
63,2
91,2
46,2
101,2
78,2
123,2
79,2
54,2
65,2
69,2
154,1
318,1
214,1
73,1
86,1
88,1
194,1
59,1
236,1
75,1
383,1
92,1
139,1
71,1
167,1
95,1
204,1
100,1
219,1
50,1
286,1
102,1
352,1
81,1
522,1
104,1
85,1
105,1
145,1
106,1
159,1
107,1
169,1
110,1
195,1
113,1
208,1
114,1
217,1
118,1
233,1
121,1
257,1
122,1
303,1
82,1
319,1
124,1
373,1
125,1
429,1
84,1
679,1
129,1
130,1
Grand Total,6391
